,TP,FP,FN,TN,precision,recall,TPR,FPR
1,0.00435982,3.784464225,6.607573,6142.330056,0.001150705,0.000659387,0.000659387,0.000615749
5,0.00592296,5.365564825,6.128258,6140.511687,0.001102667,0.000965567,0.000965567,0.000873035
10,0.00669012,6.106783167,6.110585,6132.158347,0.001094324,0.001093644,0.001093644,0.000994871
15,0.00858618,8.063746548,6.000476,6128.898967,0.001063655,0.001428872,0.001428872,0.001313964
20,0.01394656,14.23561324,5.861679,6124.445253,0.000978736,0.00237363,0.00237363,0.002319002
40,0.01867637,20.43546646,5.768372,6121.031695,0.000913085,0.00322727,0.00322727,0.003327457
50,0.02194667,26.68976546,5.561103,6115.295628,0.000821612,0.003930947,0.003930947,0.004345462
60,0.02468634,32.64646848,5.402323,6110.488812,0.0007556,0.004548793,0.004548793,0.005314301
100,0.03064848,41.19646337,5.388169,6080.665043,0.000743406,0.005655935,0.005655935,0.006729401
150,0.03807056,52.81564865,5.259503,6053.340792,0.0007203,0.007186415,0.007186415,0.008649573
250,0.05064654,72.0926464,5.233654,5954.766781,0.000702027,0.009584341,0.009584341,0.011961893
300,0.06646743,98.7354659,5.133734,5901.129088,0.000672734,0.012781703,0.012781703,0.016456282
350,0.08176247,128.3575732,5.120148,5854.502299,0.000636584,0.015717777,0.015717777,0.021454217
400,0.10093287,160.9898224,5.111687,5763.868881,0.000626559,0.019363175,0.019363175,0.027171926
450,0.12502323,215.6654882,4.904302,5702.251936,0.000579373,0.024858848,0.024858848,0.036442801
500,0.15058964,270.2211709,4.768422,5506.638687,0.000556973,0.0306138,0.0306138,0.04677648
550,0.18090612,330.8344066,4.749365,5420.108244,0.000546519,0.036692935,0.036692935,0.057526988
600,0.21646488,405.4654389,4.738812,5350.976885,0.000533583,0.04368371,0.04368371,0.070436811
650,0.25453544,495.0548997,4.705337,5280.499774,0.000513892,0.051318949,0.051318949,0.085715559
680,0.30080895,601.2643081,4.685439,5150.601966,0.000500044,0.060327716,0.060327716,0.104533777
700,0.37543543,770.7083821,4.671705,4960.077453,0.000486893,0.074385771,0.074385771,0.134485637
750,0.45354226,970.3177717,4.636548,4720.194615,0.000467198,0.08910299,0.08910299,0.170515009
800,0.53434646,1200.940864,4.515678,4561.554858,0.000444742,0.105810668,0.105810668,0.208406378
900,0.62433236,1580.015642,3.949561,4320.979012,0.000394987,0.136499107,0.136499107,0.267754122
901,0.73533019,2023.616884,3.915746,4280.215491,0.000363242,0.158098935,0.158098935,0.321013752
