"","TP","FP","FN","TN","precision","recall","TPR","FPR"
"1",0.00544998207242739,0.440588024381499,2.04976694155611,2190.50419505199,0.0122186495176849,0.00104947943007722,0.00104947943007722,0.000201197370385587
"3",0.0131229831480817,1.3249910362137,2.04209394048046,2189.61979204016,0.00980707395498392,0.00238076432609416,0.00238076432609416,0.000605080616608308
"5",0.0185729652205091,2.21161706704912,2.03664395840803,2188.73316600932,0.00832797427652733,0.00322158984785325,0.00322158984785325,0.0010099962296075
"10",0.032126210111151,4.42825385442811,2.02309071351739,2186.51652922194,0.00720257234726688,0.0055086027573721,0.0055086027573721,0.00202232051855051
"15",0.0439584080315525,6.64661168877734,2.01125851559699,2184.29817138759,0.00657020364415863,0.00739778453646276,0.00739778453646276,0.00303543108791366
"20",0.0540695589817139,8.86669057009681,2.00114736464683,2182.07809250627,0.00606109324758842,0.00901221763179533,0.00901221763179533,0.0040493429212864
"40",0.0816063105055575,17.7599139476515,1.97361061312298,2173.18486912872,0.00457395498392283,0.0128335593944603,0.0128335593944603,0.00811096026374022
"50",0.0894944424524919,22.2124058802438,1.96572248117605,2168.73237719613,0.00401286173633441,0.01445454151469,0.01445454151469,0.0101444983865168
"60",0.0956615274291861,26.6666188598064,1.95955539619935,2164.27816421657,0.00357449088960343,0.0154901442094441,0.0154901442094441,0.0121788237394058
"100",0.113589100035855,44.4902115453568,1.94162782359269,2146.45457153101,0.00254662379421222,0.0200568200419933,0.0200568200419933,0.0203192614862375
"150",0.137110075295805,66.7685908927931,1.91810684833274,2124.17619218358,0.00204930332261522,0.0265070640676495,0.0265070640676495,0.0304942690689562
"250",0.179992828970957,111.329508784511,1.87522409465758,2079.61527429186,0.00161414790996785,0.0373300687586705,0.0373300687586705,0.0508462062628533
"300",0.199498027967013,133.611903908211,1.85571889566153,2057.33287916816,0.0014908896034298,0.0421771116342708,0.0421771116342708,0.0610230824518354
"350",0.216995338831122,155.896306920043,1.83822158479742,2035.04847615633,0.00138998621956821,0.0465335165818875,0.0465335165818875,0.0712008550724425
"400",0.238580136249552,178.176622445321,1.81663678737899,2012.76816063105,0.00133721864951768,0.0527429428778908,0.0527429428778908,0.0813767383273234
"450",0.276084618142703,200.441018286124,1.77913230548584,1990.50376479025,0.00137549124687388,0.0642628394555396,0.0642628394555396,0.0915452623509091
"500",0.314879885263535,222.7041233417,1.74033703836501,1968.24065973467,0.00141189710610932,0.0736044874639525,0.0736044874639525,0.101713200613574
"550",0.354463965579061,244.96643958408,1.70075295804948,1945.97834349229,0.00144489915229465,0.084409978965216,0.084409978965216,0.111880801248672
"600",0.382574399426318,267.240229472929,1.67264252420222,1923.70455360344,0.00142952840300107,0.0910403704036252,0.0910403704036252,0.122053681239653
