business_id,top_item1,top_item2,top_item3,top_item4,top_item5
4qid9hcuiy4afcbbqpmyeq,taco,salsa,chip,bean,chicken 
6qkjl6xjqzlb9ka_qbtuda,enchilada,taco,salsa,chicken ,chip
70wdapytmcllrnb1euw6fg,guacamole,enchilada,chip,taco,salsa
7kkgmcbvaetryw1wwpzvva,burrito,tortilla,chip,chicken ,pork 
92lt0pzwl8rrzipcikdupa,carne asada,taco,torta,burrito,guacamole
9ah2rixer2_9glx12l3k_w,taco,chip,guacamole,enchilada,chicken 
_p5omyhq4qioqid1rehuzg,burrito,salsa,taco,fish ,bean
ae5s7cr7tlrumloa6e6f0a,salsa,enchilada,bean,burrito,taco
ckqdupduox18yohe2av8sa,salsa,enchilada,shrimp,bean,chicken 
eryvpcmxoaor_bnqvmqqig,taco,salsa,fish ,chip,burrito
etshd1lx0xcd2qinwixxza,torta,taco,burrito,ahogada,salsa
eul4wrpoczkobks93pxv5a,salsa,chip,chicken ,bean,enchilada
vnwj8u1kbnkpqfmtd3tdww,salsa,chip,taco,chicken ,burrito
vy8_p5aefo4xroh_mufq9a,chip,salsa,taco,enchilada,bean
y6fmhz2cceimbgvxnvge_w,salsa,chip,chicken ,shrimp,taco
znnyihzs5tax64wonjj4dg,burrito,taco,bean,carne asada,chicken 
ztdcs8xjml4p6bvmoiqwag,chip,chipotle,burrito,taco,chicken 
zwnlj2vglfevgu7ddzjj4g,chip,bean,salsa,taco,chicken 
zxy7knpvhsqmkkn7fmgnqa,burrito,quesadilla,chicken ,nacho,taco
